variable,MIMIC-IV,SICdb,eICU-CRD
bicarbonate,0.014389922075335515,0.010961328976034856,0.1104660521317351
bilirubin,0.5901361814424777,0.6529139433551199,0.599869080451136
bun,0.014589090546966443,0.03417755991285398,0.09289922414070628
creatinine,0.014290337839520051,0.03914760348583879,0.08930430210222451
dbp,0.0016680359499091635,0.0008169934640522847,0.7459838818719349
glucose,0.014140961485796799,0.008918845315904145,0.05624175045875501
heart_rate,0.0016431398909552142,0.00020424836601307117,0.020163756747185735
hemoglobin,0.01844797968481593,0.008169934640522847,0.11069140545355038
lactate,0.4060547215375806,0.0106209150326797,0.7452112419114254
map,0.0018672044215400918,0.0008169934640522847,0.7454795196754912
ph,0.3499887967734707,0.010825163398692772,0.6465923358408361
platelets,0.018522667861677444,0.03397331154684091,0.12716366016719072
potassium,0.013120223068688208,0.00905501089324623,0.0824578535632653
resp_rate,0.002838150720740895,0.009667755991285443,0.09443377295116273
sbp,0.0016680359499091635,0.0008169934640522847,0.7461341174198117
sodium,0.013394079717180762,0.008986928104575131,0.08984085763035621
spo2,0.001792516244678466,0.0005446623093682268,0.028802300750104592
temperature,0.03614907760101571,0.054261982570806055,0.8892227456619486
wbc,0.018696940274354534,0.03417755991285398,0.11901874725015293
