stage,model,method,ece,brier
Stage 2: Temporal,LogReg,raw,0.23422952563682697,0.14564981356700513
Stage 2: Temporal,LogReg,platt,0.010658005389041427,0.07229289199894463
Stage 2: Temporal,LogReg,isotonic,0.009365936847014455,0.07193150271805013
Stage 2: Temporal,LogReg,temperature,0.23049669558945832,0.14525773591577984
Stage 2: Temporal,LogReg,beta,0.006390901196438604,0.07158584994690109
Stage 2: Temporal,GBM,raw,0.030009397806548772,0.07160043116016374
Stage 2: Temporal,GBM,platt,0.028020715116158057,0.07155779626385511
Stage 2: Temporal,GBM,isotonic,0.008870286703002746,0.06984470750447244
Stage 2: Temporal,GBM,temperature,0.018372961698826133,0.07122181667087107
Stage 2: Temporal,GBM,beta,0.008665639332790144,0.06960001181501473
Stage 3: Multi-site,LogReg,raw,0.5902325823454377,0.5744458879013616
Stage 3: Multi-site,LogReg,platt,4.801415424901534e-06,0.08526142619483161
Stage 3: Multi-site,LogReg,isotonic,0.0018847297887958244,0.08453358394633714
Stage 3: Multi-site,LogReg,temperature,0.4129568791650326,0.26114547906368
Stage 3: Multi-site,LogReg,beta,0.000999521453480084,0.08499407394400404
Stage 3: Multi-site,GBM,raw,0.038165476627360855,0.07738496622724494
Stage 3: Multi-site,GBM,platt,0.019293926584721,0.07313958946254255
Stage 3: Multi-site,GBM,isotonic,0.0037672636986447443,0.07241160898103982
Stage 3: Multi-site,GBM,temperature,0.03853612447658311,0.07741486734624581
Stage 3: Multi-site,GBM,beta,0.0019783379914635906,0.07227140942884411
Stage 4: Continental,LogReg,raw,0.15285729076725882,0.17835208362931548
Stage 4: Continental,LogReg,platt,0.030723307862413667,0.14198020952146911
Stage 4: Continental,LogReg,isotonic,0.005550631367869585,0.14028814056567607
Stage 4: Continental,LogReg,temperature,0.10680828901534693,0.1615612370398006
Stage 4: Continental,LogReg,beta,0.012489863831559395,0.14035640984955794
Stage 4: Continental,GBM,raw,0.11646739494564659,0.14697677993888583
Stage 4: Continental,GBM,platt,0.023631335774083065,0.1347052792554184
Stage 4: Continental,GBM,isotonic,0.01154780238546771,0.13216153252417503
Stage 4: Continental,GBM,temperature,0.01586912510575344,0.13185897912363692
Stage 4: Continental,GBM,beta,0.012886981844940177,0.131618275710366
